Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,785.161525934329,865.59248120703,762.725361728214,776.934748974948,826.952081040206,890.953359858712,923.728867504315,1010.81922139014,864.199459705589,1149.53609603604,989.200148492914,966.683283781289,1000.12201296783,1018.26314225619,916.555190602146,963.927169506077,921.893044018284,927.744518727469,896.437762376845,813.255695500012,572.781843950789,418.286629757142,412.378880465233,441.249295409311,417.034843013203,447.848870261137,384.594958328053,426.682819087559,576.183632282524,580.494764208924,597.265252650749,660.04798411018,648.168387059418,715.414483080102,719.584378082987,706.859407721917,679.861765101008,710.748498463347,732.316681804627,729.154372728518,764.968616564465,687.896259861998,801.329975005976,808.455839595944,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,245.724996552931,278.682743109621,326.471803442211,342.712678136231,352.112969809286,383.968171455351,414.45125098187,495.987656119213,609.880767803121,602.20154871449,633.810291235951,798.53226201554,834.177938979328,799.033742480539,806.239522250995,881.211794913798,844.29391121441,866.69299649732,836.985015038689,874.261865926644,902.985955632938,902.077310353302,883.771293726506,833.218687273147,851.558143744101,808.546599522944,813.23459942478,828.336821428188,872.042865945575,873.502668417859,863.343436248463,911.280286014525,955.674910891154,954.132221349292,979.149602577817,1032.45613351564,1077.47584808117,1070.54386510069,1148.5747501898,1107.72719068152,1133.1648627486,1220.98122820794,1238.59567345603,1318.00885452686,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,642.744523461627,671.435549706183,646.578992844674,638.078757764388,602.21334463061,575.653345515773,548.673657173459,582.963319023738,570.678714095346,560.99444397453,544.497509189321,517.699523564019,512.686415905435,499.130217251011,510.29254166019,497.826509327429,492.441696201263,495.290016628778,489.330574498766,506.018736732735,501.021039663147,487.586399298374,489.093472548625,479.965982790335,463.829194896443,461.416516706369,455.725155901133,439.613387627586,446.78457941047,443.982288464328,448.230534904684,453.221400025474,472.276973683037,468.749178446103,436.773919413145,461.879996776463,474.572709823361,494.645657943,517.504370889681,522.335969469614,521.830428428821,550.839693734785,530.704374671802,540.218283215766,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1567.0489962896,..,..,..,..,..,..,..,..,..,..,..,..,..,1714.96080996964,1720.86771928502,1774.10550344896,1786.93821599922,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,1387.13973182734,1387.58021724106,1420.92984489942,1425.86660071573,1388.82281038723,1415.16020507047,1429.97160678838,1434.57567953128,1490.79290265352,1492.62466158658,1434.4305372278,1419.95474249265,1422.99338458019,1450.62261300261,1363.01308383538,1423.63528731357,1478.68186521424,1505.52863621037,1441.15230206438,1406.26267615108,1428.94904872042,1482.08945296822,1466.42379872735,1539.19112059515,1541.04397431196,1577.94556047562,1608.80881387121,1644.38762857801,1653.37833331458,1654.12993674636,1556.31862739561,1496.50847296913,1584.79174705203,1713.79093565639,1706.4641370817,1837.50365168543,1842.95228976916,1921.15316815088,1848.35063936502,1905.28540331162,1930.10450829198,1917.12162318991,1949.49041806068,2013.19377703705,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2169.98373932471,2248.18447931462,1156.42713980191,634.903913090314,409.721780533256,497.227127619853,543.212549962104,573.52780359358,591.038027977176,578.874784279033,625.438514793083,624.492496419453,586.404775298456,622.534799685782,661.870833201681,798.4706331045,818.198970291964,918.08135418678,973.103883903988,851.262230919765,815.55471623752,896.848640972291,982.306471346847,959.748841826605,981.730373614706,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
