Series Name,Series Code,Country Name,countrycode,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,785.1615259,865.5924812,762.7253617,776.934749,826.952081,890.9533599,923.7288675,1010.819221,864.1994597,1149.536096,989.2001485,966.6832838,1000.122013,1018.263142,916.5551906,963.9271695,921.893044,927.7445187,896.4377624,813.2556955,572.781844,418.2866298,412.3788805,441.2492954,417.034843,447.8488703,384.5949583,426.6828191,576.1836323,580.4947642,597.2652527,660.0479841,648.1683871,715.4144831,719.5843781,706.8594077,679.8617651,710.7484985,732.3166818,729.1543727,764.9686166,687.8962599,801.329975,808.4558396,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,245.7249966,278.6827431,326.4718034,342.7126781,352.1129698,383.9681715,414.451251,495.9876561,609.8807678,602.2015487,633.8102912,798.532262,834.177939,799.0337425,806.2395223,881.2117949,844.2939112,866.6929965,836.985015,874.2618659,902.9859556,902.0773104,883.7712937,833.2186873,851.5581437,808.5465995,813.2345994,828.3368214,872.0428659,873.5026684,863.3434362,911.280286,955.6749109,954.1322213,979.1496026,1032.456134,1077.475848,1070.543865,1148.57475,1107.727191,1133.164863,1220.981228,1238.595673,1318.008855,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,642.7445235,671.4355497,646.5789928,638.0787578,602.2133446,575.6533455,548.6736572,582.963319,570.6787141,560.994444,544.4975092,517.6995236,512.6864159,499.1302173,510.2925417,497.8265093,492.4416962,495.2900166,489.3305745,506.0187367,501.0210397,487.5863993,489.0934725,479.9659828,463.8291949,461.4165167,455.7251559,439.6133876,446.7845794,443.9822885,448.2305349,453.2214,472.2769737,468.7491784,436.7739194,461.8799968,474.5727098,494.6456579,517.5043709,522.3359695,521.8304284,550.8396937,530.7043747,540.2182832,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1567.048996,..,..,..,..,..,..,..,..,..,..,..,..,..,1714.96081,1720.867719,1774.105503,1786.938216,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,1387.139732,1387.580217,1420.929845,1425.866601,1388.82281,1415.160205,1429.971607,1434.57568,1490.792903,1492.624662,1434.430537,1419.954742,1422.993385,1450.622613,1363.013084,1423.635287,1478.681865,1505.528636,1441.152302,1406.262676,1428.949049,1482.089453,1466.423799,1539.191121,1541.043974,1577.94556,1608.808814,1644.387629,1653.378333,1654.129937,1556.318627,1496.508473,1584.791747,1713.790936,1706.464137,1837.503652,1842.95229,1921.153168,1848.350639,1905.285403,1930.104508,1917.121623,1949.490418,2013.193777,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2169.983739,2248.184479,1156.42714,634.9039131,409.7217805,497.2271276,543.21255,573.5278036,591.038028,578.8747843,625.4385148,624.4924964,586.4047753,622.5347997,661.8708332,798.4706331,818.1989703,918.0813542,973.1038839,851.2622309,815.5547162,896.848641,982.3064713,959.7488418,981.7303736,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
