Series Name,Series Code,Country Name,countrycode,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Labor force, total",SL.TLF.TOTL.IN,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2978278,3012953,3252403,3639934,3933565,4102970,4241381,4374653,4511052,4652787,4685110,4703525,4947614,5259920,5459292,5672338,5937057,6089718,6273586,6563261,6822959,7148944,7518518,7857574,8229616,8575264,8883595,9223903,9215855,9194531,9060510,9183905,8617545,8866507
"Labor force, total",SL.TLF.TOTL.IN,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1366650,1419589,1429286,1407770,1389340,1363787,1345509,1360459,1344507,1324627,1313953,1300522,1304298,1290479,1275726,1259700,1241897,1222005,1201455,1247208,1259163,1376922,1317638,1217163,1244156,1295052,1341701,1363232,1393620,1415825,1352399,1367734,1389262,1376643
"Labor force, total",SL.TLF.TOTL.IN,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6711330,6973188,7194753,7426481,7671789,7906356,8153158,8366812,8588043,8827940,9068833,9306534,9533572,9752688,9975430,10190322,10410056,10632096,10866131,11105183,11421278,11586989,11731223,11845414,11933136,12055583,12189762,12357590,12514356,12667017,12046917,12323177,13020342,13174228
"Labor force, total",SL.TLF.TOTL.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4924766,5079618,5235871,5393854,5560765,5744293,5941527,6150107,6365427,6585434,6815659,7057918,7312781,7583239,7870706,8170907,8483347,8810501,9150346,9502658,9873442,10270426,10636117,11009075,11376942,11740075,12119717,12515803,12917977,13331298,13743846,14529142,14885226,15430003
"Labor force, total",SL.TLF.TOTL.IN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13450998,13889774,14306360,14739466,15116051,15240944,15612527,16062098,16388640,16485080,16660492,16712140,16524914,17006209,17502349,17624307,17955872,18001087,18041663,18399678,18468692,18857586,19006986,19111596,19177885,19343227,19497873,19643677,20125838,20580300,19317784,20993886,21566906,22069879
"Labor force, total",SL.TLF.TOTL.IN,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1622184,1645955,1607037,1525684,1468125,1434082,1419418,1405646,1404236,1414501,1467361,1484639,1491404,1492557,1493704,1496085,1499845,1504185,1501199,1515902,1510718,1503332,1499205,1497111,1491442,1485417,1478604,1469377,1463863,1491645,1476483,1495617,1480203,1492711
"Labor force, total",SL.TLF.TOTL.IN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
